INN_SALE,KPP_SALE,INN_PURCHASE,KPP_PURCHASE,SUM_TABLE_PURCHASE,NDS_TABLE_PURCHASE
165392565391,165375450,856199395944,856123891,717396.58,129131.38
467884939626,467878969,127960923158,127951565,600549.87,108098.98
167459856247,167491613,896698557214,896642866,676509.79,121771.76
502383045576,502337590,282689257845,282611050,407990.93,73438.37
292286073889,292271934,789378535704,789313039,995132.64,179123.88
291517386106,291526120,132581881133,132593069,917504.87,165150.88
102156096383,102173366,832965161249,832979896,447334.32,80520.18
849272748114,849242014,724758679610,724766477,925639.39,166615.09
644251366371,644215730,227056231448,227093764,698741.09,125773.4
867407561959,867426423,349799197974,349745438,336893.23,60640.78
