INN_PURCHASE,KPP_PURCHASE,INN_SALE,KPP_SALE,SUM_TABLE_SALE,NDS_TABLE_SALE
614848816809,614821255,106105139230,106161897,496218.28,89319.29
472175956739,472111553,491077748921,491014884,472983.29,85136.99
148882957360,148840730,374056712437,374030645,638201.73,114876.31
347447589218,347425253,254645484617,254699965,135924.69,24466.44
256030529788,702012948,911563355740,911522629,508256.24,91486.12
837167795640,837162033,882121154109,882170056,570628.14,102713.07
575757671532,575711544,568184540705,568198103,228474.33,41125.38
859383675640,859351488,695793220157,695723107,882728.62,158891.15
113785630535,113775856,889202523149,175937351,191802.87,34524.52
598196033227,598127149,297530335357,297599320,315821.69,56847.9
